Freq.	V(n009)
1.00000000000000e+003	(-1.15350202562270e+001dB,-1.18653008562655e+002°)
1.12201845430196e+003	(-1.08410819611306e+001dB,-1.22096640347434e+002°)
1.25892541179417e+003	(-1.01990740134957e+001dB,-1.25615539427365e+002°)
1.41253754462275e+003	(-9.61221137359254e+000dB,-1.29179013425786e+002°)
1.58489319246111e+003	(-9.08252649433433e+000dB,-1.32750844659163e+002°)
1.77827941003892e+003	(-8.61065128901725e+000dB,-1.36291677019541e+002°)
1.99526231496888e+003	(-8.19573780976238e+000dB,-1.39761809015224e+002°)
2.23872113856834e+003	(-7.83553301807321e+000dB,-1.43123977137259e+002°)
2.51188643150958e+003	(-7.52659090812149e+000dB,-1.46345715689416e+002°)
2.81838293126445e+003	(-7.26457883872202e+000dB,-1.49400992549125e+002°)
3.16227766016838e+003	(-7.04462249742746e+000dB,-1.52270998406048e+002°)
3.54813389233575e+003	(-6.86163716295694e+000dB,-1.54944143916767e+002°)
3.98107170553497e+003	(-6.71060742717799e+000dB,-1.57415442998377e+002°)
4.46683592150963e+003	(-6.58679615325961e+000dB,-1.59685511560409e+002°)
5.01187233627272e+003	(-6.48588002555722e+000dB,-1.61759399648818e+002°)
5.62341325190348e+003	(-6.40402031824439e+000dB,-1.63645426601285e+002°)
6.30957344480192e+003	(-6.33788302634291e+000dB,-1.65354128887772e+002°)
7.07945784384137e+003	(-6.28462351977849e+000dB,-1.66897376225475e+002°)
7.94328234724280e+003	(-6.24184917349678e+000dB,-1.68287671303027e+002°)
8.91250938133744e+003	(-6.20757053883840e+000dB,-1.69537623054259e+002°)
9.99999999999999e+003	(-6.18014858797190e+000dB,-1.70659570282657e+002°)
1.12201845430196e+004	(-6.15824292957181e+000dB,-1.71665327854147e+002°)
1.25892541179417e+004	(-6.14076385588813e+000dB,-1.72566028251861e+002°)
1.41253754462275e+004	(-6.12682963345888e+000dB,-1.73372034491773e+002°)
1.58489319246111e+004	(-6.11572949539039e+000dB,-1.74092904568657e+002°)
1.77827941003892e+004	(-6.10689221179837e+000dB,-1.74737391787254e+002°)
1.99526231496888e+004	(-6.09985979558168e+000dB,-1.75313469061962e+002°)
2.23872113856833e+004	(-6.09426575407381e+000dB,-1.75828368366370e+002°)
2.51188643150957e+004	(-6.08981725769193e+000dB,-1.76288628972293e+002°)
2.81838293126445e+004	(-6.08628061908617e+000dB,-1.76700150004703e+002°)
3.16227766016837e+004	(-6.08346953064499e+000dB,-1.77068244250672e+002°)
3.54813389233575e+004	(-6.08123557587802e+000dB,-1.77397691195505e+002°)
3.98107170553496e+004	(-6.07946060012261e+000dB,-1.77692788003142e+002°)
4.46683592150962e+004	(-6.07805059216302e+000dB,-1.77957397685377e+002°)
5.01187233627271e+004	(-6.07693078775979e+000dB,-1.78194994070028e+002°)
5.62341325190348e+004	(-6.07604175772814e+000dB,-1.78408703428221e+002°)
6.30957344480192e+004	(-6.07533628707848e+000dB,-1.78601342786708e+002°)
7.07945784384136e+004	(-6.07477688842422e+000dB,-1.78775455058321e+002°)
7.94328234724279e+004	(-6.07433382318866e+000dB,-1.78933341189470e+002°)
8.91250938133743e+004	(-6.07398352899878e+000dB,-1.79077089561205e+002°)
9.99999999999997e+004	(-6.07370737189964e+000dB,-1.79208602898913e+002°)
1.12201845430196e+005	(-6.07349065844516e+000dB,-1.79329622951799e+002°)
1.25892541179416e+005	(-6.07332185600585e+000dB,-1.79441753201496e+002°)
