time	V(out)
0.000000000000000e+000	4.499958e-017
7.812499968782791e-015	5.692485e-007
1.562499993756558e-014	7.589979e-007
6.249999975026233e-014	4.543688e-008
1.249999995005247e-013	-1.462950e-007
2.499999990010493e-013	-1.759573e-008
4.999999980020986e-013	-1.976186e-008
9.999999960041972e-013	-9.520099e-009
1.999999992008394e-012	9.103986e-010
3.999999984016789e-012	2.425377e-009
7.999999968033578e-012	1.172623e-008
1.599999993606716e-011	6.881955e-008
2.916653964776090e-011	2.777209e-007
4.323424057418342e-011	7.008799e-007
6.089053650403193e-011	1.581351e-006
8.596602084527780e-011	3.362245e-006
1.126482749227895e-010	5.709517e-006
1.428354681476432e-010	8.513874e-006
1.749616387983309e-010	1.100719e-005
2.079676039570544e-010	1.224486e-005
2.417179512990564e-010	1.127144e-005
2.754767583691258e-010	7.323070e-006
3.060094996278455e-010	4.581134e-007
3.385982167406387e-010	-1.100402e-005
3.749540389504475e-010	-3.030320e-005
4.436332737898587e-010	-8.580405e-005
5.535377669393301e-010	-2.165999e-004
6.841918101641728e-010	-4.374757e-004
8.697627540508972e-010	-8.649683e-004
1.140049960876629e-009	-1.690816e-003
1.519688497083113e-009	-3.212921e-003
2.002316292013011e-009	-5.755162e-003
2.783566292013011e-009	-1.097213e-002
3.564816292013011e-009	-1.728691e-002
4.346066292013011e-009	-2.462769e-002
5.127316292013011e-009	-3.280684e-002
5.908566292013011e-009	-4.166862e-002
6.689816292013011e-009	-5.108378e-002
7.471066292013011e-009	-6.094433e-002
8.252316292013012e-009	-7.116034e-002
9.033566292013011e-009	-8.165640e-002
9.814816292013010e-009	-9.236923e-002
1.059606629201301e-008	-1.032455e-001
1.137731629201301e-008	-1.142400e-001
1.215856629201301e-008	-1.253144e-001
1.293981629201301e-008	-1.364358e-001
1.372106629201301e-008	-1.475758e-001
1.450231629201301e-008	-1.587100e-001
1.528356629201300e-008	-1.698168e-001
1.606481629201300e-008	-1.808773e-001
1.684606629201300e-008	-1.918746e-001
1.762731629201300e-008	-2.027936e-001
1.840856629201300e-008	-2.136205e-001
1.918981629201300e-008	-2.243426e-001
1.997106629201300e-008	-2.349479e-001
2.075231629201300e-008	-2.454251e-001
2.153356629201300e-008	-2.557629e-001
2.231481629201300e-008	-2.659498e-001
2.309606629201300e-008	-2.759731e-001
2.387731629201300e-008	-2.858189e-001
2.465856629201299e-008	-2.954713e-001
2.543981629201299e-008	-3.049124e-001
2.622106629201299e-008	-3.141234e-001
2.700231629201299e-008	-3.230844e-001
2.778356629201299e-008	-3.317747e-001
2.856481629201299e-008	-3.401720e-001
2.934606629201299e-008	-3.482519e-001
3.012731629201299e-008	-3.559876e-001
3.090856629201299e-008	-3.633497e-001
3.168981629201299e-008	-3.703068e-001
3.247106629201299e-008	-3.768257e-001
3.325231629201299e-008	-3.828726e-001
3.403356629201299e-008	-3.884136e-001
3.481481629201299e-008	-3.934156e-001
3.559606629201299e-008	-3.978510e-001
3.637731629201298e-008	-4.017069e-001
3.715856629201298e-008	-4.049959e-001
3.793981629201298e-008	-4.077584e-001
3.872106629201298e-008	-4.100552e-001
3.950231629201298e-008	-4.119596e-001
4.022680995791890e-008	-4.134212e-001
4.100805995791890e-008	-4.147244e-001
4.178930995791890e-008	-4.158024e-001
4.257055995791890e-008	-4.166906e-001
4.335180995791890e-008	-4.174224e-001
4.413305995791890e-008	-4.180258e-001
4.491430995791889e-008	-4.185233e-001
4.647680995791889e-008	-4.192724e-001
4.803930995791889e-008	-4.197823e-001
4.960180995791889e-008	-4.201284e-001
5.038305995791889e-008	-4.202566e-001
5.194555995791889e-008	-4.204462e-001
5.428930995791888e-008	-4.206094e-001
5.585180995791888e-008	-4.206601e-001
5.741430995791888e-008	-4.206744e-001
5.819555995791888e-008	-4.206689e-001
5.897680995791888e-008	-4.206552e-001
5.975805995791888e-008	-4.206329e-001
6.053930995791888e-008	-4.206015e-001
6.132055995791889e-008	-4.205601e-001
6.210180995791890e-008	-4.205074e-001
6.288305995791890e-008	-4.204414e-001
6.366430995791891e-008	-4.203597e-001
6.444555995791891e-008	-4.202582e-001
6.522680995791892e-008	-4.201315e-001
6.600805995791892e-008	-4.199709e-001
6.678930995791893e-008	-4.197629e-001
6.757055995791894e-008	-4.194846e-001
6.835180995791894e-008	-4.190959e-001
6.913305995791895e-008	-4.185242e-001
6.991430995791895e-008	-4.176385e-001
7.069555995791896e-008	-4.162757e-001
7.129605677328982e-008	-4.147308e-001
7.177436656504110e-008	-4.130116e-001
7.227137704111039e-008	-4.106348e-001
7.293734434891568e-008	-4.066045e-001
7.371859434891568e-008	-4.009979e-001
7.433737458830568e-008	-3.960183e-001
7.503031818481778e-008	-3.900139e-001
7.572176940019724e-008	-3.836986e-001
7.650301940019724e-008	-3.762276e-001
7.728426940019725e-008	-3.684527e-001
7.806551940019725e-008	-3.603974e-001
7.884676940019726e-008	-3.520871e-001
7.962801940019727e-008	-3.435408e-001
8.040926940019727e-008	-3.347728e-001
8.119051940019728e-008	-3.257941e-001
8.197176940019728e-008	-3.166138e-001
8.275301940019729e-008	-3.072398e-001
8.353426940019729e-008	-2.976791e-001
8.431551940019730e-008	-2.879384e-001
8.509676940019731e-008	-2.780243e-001
8.587801940019731e-008	-2.679431e-001
8.665926940019732e-008	-2.577012e-001
8.744051940019732e-008	-2.473048e-001
8.822176940019733e-008	-2.367603e-001
8.900301940019734e-008	-2.260742e-001
8.978426940019734e-008	-2.152528e-001
9.056551940019735e-008	-2.043028e-001
9.134676940019735e-008	-1.932305e-001
9.212801940019736e-008	-1.820427e-001
9.290926940019736e-008	-1.707460e-001
9.369051940019737e-008	-1.593470e-001
9.447176940019738e-008	-1.478525e-001
9.525301940019738e-008	-1.362692e-001
9.603426940019739e-008	-1.246039e-001
9.681551940019739e-008	-1.128635e-001
9.759676940019740e-008	-1.010550e-001
9.837801940019740e-008	-8.918524e-002
9.915926940019741e-008	-7.726135e-002
9.994051940019742e-008	-6.529044e-002
1.007217694001974e-007	-5.327971e-002
1.015030194001974e-007	-4.123640e-002
1.022842694001974e-007	-2.916779e-002
1.030655194001974e-007	-1.708122e-002
1.038467694001974e-007	-4.984050e-003
1.046280194001975e-007	7.116338e-003
1.054092694001975e-007	1.921256e-002
1.061905194001975e-007	3.129723e-002
1.069717694001975e-007	4.336298e-002
1.077530194001975e-007	5.540247e-002
1.085342694001975e-007	6.740834e-002
1.093155194001975e-007	7.937330e-002
1.100967694001975e-007	9.129007e-002
1.108780194001975e-007	1.031514e-001
1.116592694001975e-007	1.149501e-001
1.124405194001975e-007	1.266790e-001
1.132217694001975e-007	1.383308e-001
1.140030194001975e-007	1.498986e-001
1.147842694001975e-007	1.613751e-001
1.155655194001975e-007	1.727533e-001
1.163467694001975e-007	1.840261e-001
1.171280194001975e-007	1.951865e-001
1.179092694001976e-007	2.062273e-001
1.186905194001976e-007	2.171415e-001
1.194717694001976e-007	2.279218e-001
1.202530194001976e-007	2.385606e-001
1.210342694001975e-007	2.490499e-001
1.218155194001975e-007	2.593804e-001
1.225967694001975e-007	2.695408e-001
1.233780194001975e-007	2.795172e-001
1.241592694001975e-007	2.892930e-001
1.249405194001975e-007	2.988493e-001
1.257217694001975e-007	3.081659e-001
1.265030194001975e-007	3.172216e-001
1.272842694001975e-007	3.259932e-001
1.280655194001975e-007	3.344554e-001
1.288467694001975e-007	3.425796e-001
1.296280194001975e-007	3.503322e-001
1.304092694001975e-007	3.576691e-001
1.311905194001975e-007	3.645196e-001
1.319717694001974e-007	3.707684e-001
1.327530194001974e-007	3.762799e-001
1.335342694001974e-007	3.809774e-001
1.343155194001974e-007	3.848942e-001
1.350967694001974e-007	3.881347e-001
1.358780194001974e-007	3.908128e-001
1.366592694001974e-007	3.930272e-001
1.374405194001974e-007	3.948607e-001
1.382217694001974e-007	3.963818e-001
1.390030194001974e-007	3.976465e-001
1.397842694001974e-007	3.987009e-001
1.405655194001974e-007	3.995822e-001
1.413467694001974e-007	4.003210e-001
1.421280194001973e-007	4.009422e-001
1.429092694001973e-007	4.014658e-001
1.436905194001973e-007	4.019084e-001
1.444717694001973e-007	4.022833e-001
1.452530194001973e-007	4.026013e-001
1.468155194001973e-007	4.031002e-001
1.483780194001973e-007	4.034579e-001
1.499405194001973e-007	4.037089e-001
1.515030194001973e-007	4.038760e-001
1.530655194001972e-007	4.039739e-001
1.546280194001972e-007	4.040118e-001
1.561905194001972e-007	4.039950e-001
1.569717694001972e-007	4.039668e-001
1.577530194001972e-007	4.039257e-001
1.585342694001972e-007	4.038714e-001
1.593155194001972e-007	4.038036e-001
1.600967694001972e-007	4.037219e-001
1.608780194001972e-007	4.036258e-001
1.616592694001972e-007	4.035142e-001
1.624405194001972e-007	4.033861e-001
1.632217694001971e-007	4.032399e-001
1.640030194001971e-007	4.030735e-001
1.647842694001971e-007	4.028842e-001
1.655655194001971e-007	4.026683e-001
1.663467694001971e-007	4.024201e-001
1.671280194001971e-007	4.021314e-001
1.679092694001971e-007	4.017891e-001
1.686905194001971e-007	4.013699e-001
1.694717694001971e-007	4.008310e-001
1.702530194001971e-007	4.000927e-001
1.710342694001971e-007	3.990206e-001
1.718155194001971e-007	3.974278e-001
1.725967694001971e-007	3.951132e-001
1.733780194001970e-007	3.919294e-001
1.741592694001970e-007	3.878371e-001
1.749405194001970e-007	3.829028e-001
1.757217694001970e-007	3.772420e-001
1.765030194001970e-007	3.709659e-001
1.772842694001970e-007	3.641629e-001
1.780655194001970e-007	3.569036e-001
1.788467694001970e-007	3.492452e-001
1.796280194001970e-007	3.412340e-001
1.804092694001970e-007	3.329068e-001
1.811905194001970e-007	3.242924e-001
1.819717694001970e-007	3.154141e-001
1.827530194001970e-007	3.062907e-001
1.835342694001970e-007	2.969383e-001
1.843155194001969e-007	2.873709e-001
1.850967694001969e-007	2.776007e-001
1.858780194001969e-007	2.676393e-001
1.866592694001969e-007	2.574969e-001
1.874405194001969e-007	2.471832e-001
1.882217694001969e-007	2.367074e-001
1.890030194001969e-007	2.260783e-001
1.897842694001969e-007	2.153043e-001
1.905655194001969e-007	2.043933e-001
1.913467694001969e-007	1.933534e-001
1.921280194001969e-007	1.821923e-001
1.929092694001969e-007	1.709176e-001
1.936905194001969e-007	1.595367e-001
1.944717694001968e-007	1.480571e-001
1.952530194001968e-007	1.364863e-001
1.960342694001968e-007	1.248315e-001
1.968155194001968e-007	1.131000e-001
1.975967694001968e-007	1.012992e-001
1.983780194001968e-007	8.943629e-002
1.991592694001968e-007	7.751869e-002
1.999405194001968e-007	6.555369e-002
2.007217694001968e-007	5.354863e-002
2.015030194001968e-007	4.151082e-002
2.022842694001968e-007	2.944765e-002
2.030655194001968e-007	1.736645e-002
2.038467694001968e-007	5.274583e-003
2.046280194001967e-007	-6.820602e-003
2.054092694001967e-007	-1.891177e-002
2.061905194001967e-007	-3.099162e-002
2.069717694001967e-007	-4.305286e-002
2.077530194001967e-007	-5.508825e-002
2.085342694001967e-007	-6.709056e-002
2.093155194001967e-007	-7.905261e-002
2.100967694001967e-007	-9.096727e-002
2.108780194001967e-007	-1.028274e-001
2.116592694001967e-007	-1.146259e-001
2.124405194001967e-007	-1.263557e-001
2.132217694001967e-007	-1.380097e-001
2.140030194001967e-007	-1.495809e-001
2.147842694001967e-007	-1.610620e-001
2.155655194001966e-007	-1.724462e-001
2.163467694001966e-007	-1.837262e-001
2.171280194001966e-007	-1.948950e-001
2.179092694001966e-007	-2.059454e-001
2.186905194001966e-007	-2.168702e-001
2.194717694001966e-007	-2.276620e-001
2.202530194001966e-007	-2.383135e-001
2.210342694001966e-007	-2.488167e-001
2.218155194001966e-007	-2.591631e-001
2.225967694001966e-007	-2.693433e-001
2.233780194001966e-007	-2.793462e-001
2.241592694001966e-007	-2.891586e-001
2.249405194001966e-007	-2.987653e-001
2.257217694001965e-007	-3.081490e-001
2.265030194001965e-007	-3.172914e-001
2.272842694001965e-007	-3.261730e-001
2.280655194001965e-007	-3.347733e-001
2.288467694001965e-007	-3.430697e-001
2.296280194001965e-007	-3.510375e-001
2.304092694001965e-007	-3.586492e-001
2.311905194001965e-007	-3.658749e-001
2.319717694001965e-007	-3.726826e-001
2.327530194001965e-007	-3.790392e-001
2.335342694001965e-007	-3.849108e-001
2.343155194001965e-007	-3.902637e-001
2.350967694001965e-007	-3.950662e-001
2.358780194001964e-007	-3.992947e-001
2.366592694001964e-007	-4.029446e-001
2.374405194001964e-007	-4.060389e-001
2.382217694001964e-007	-4.086268e-001
2.390030194001964e-007	-4.107730e-001
2.397842694001965e-007	-4.125520e-001
2.404925871994683e-007	-4.138875e-001
2.412738371994684e-007	-4.151065e-001
2.420550871994684e-007	-4.161162e-001
2.428363371994684e-007	-4.169480e-001
2.436175871994684e-007	-4.176336e-001
2.443988371994684e-007	-4.181989e-001
2.451800871994685e-007	-4.186650e-001
2.467425871994685e-007	-4.193670e-001
2.483050871994685e-007	-4.198446e-001
