Freq.	V(out)
1.00000000000000e+003	(-6.34436719934163e+000dB,-1.67570348690843e+002°)
1.12201845430196e+003	(-6.31995928991259e+000dB,-1.68909029264767e+002°)
1.25892541179417e+003	(-6.30049838440537e+000dB,-1.70106033766442e+002°)
1.41253754462275e+003	(-6.28499362085798e+000dB,-1.71175666682611e+002°)
1.58489319246111e+003	(-6.27264828677610e+000dB,-1.72130992451924e+002°)
1.77827941003892e+003	(-6.26282336191719e+000dB,-1.72983882134920e+002°)
1.99526231496888e+003	(-6.25500731893678e+000dB,-1.73745079206073e+002°)
2.23872113856834e+003	(-6.24879133229290e+000dB,-1.74424276001743e+002°)
2.51188643150958e+003	(-6.24384906883959e+000dB,-1.75030194856737e+002°)
2.81838293126445e+003	(-6.23992030334926e+000dB,-1.75570669855310e+002°)
3.16227766016838e+003	(-6.23679769193266e+000dB,-1.76052726503547e+002°)
3.54813389233575e+003	(-6.23431613071131e+000dB,-1.76482657641991e+002°)
3.98107170553497e+003	(-6.23234421718427e+000dB,-1.76866094622296e+002°)
4.46683592150963e+003	(-6.23077741320726e+000dB,-1.77208073266221e+002°)
5.01187233627272e+003	(-6.22953257954728e+000dB,-1.77513094460403e+002°)
5.62341325190348e+003	(-6.22854361263036e+000dB,-1.77785179458398e+002°)
6.30957344480192e+003	(-6.22775796480911e+000dB,-1.78027920102816e+002°)
7.07945784384137e+003	(-6.22713387154389e+000dB,-1.78244524261076e+002°)
7.94328234724280e+003	(-6.22663814331574e+000dB,-1.78437856813600e+002°)
8.91250938133744e+003	(-6.22624440814907e+000dB,-1.78610476549974e+002°)
9.99999999999999e+003	(-6.22593171333892e+000dB,-1.78764669329433e+002°)
1.12201845430196e+004	(-6.22568341330226e+000dB,-1.78902477850637e+002°)
1.25892541179417e+004	(-6.22548628521021e+000dB,-1.79025728358914e+002°)
1.41253754462275e+004	(-6.22532982587342e+000dB,-1.79136054598117e+002°)
1.58489319246111e+004	(-6.22520569283967e+000dB,-1.79234919291162e+002°)
1.77827941003892e+004	(-6.22510726022971e+000dB,-1.79323633410744e+002°)
1.99526231496888e+004	(-6.22502926590277e+000dB,-1.79403373479052e+002°)
2.23872113856833e+004	(-6.22496753137098e+000dB,-1.79475197114012e+002°)
2.51188643150957e+004	(-6.22491873972136e+000dB,-1.79540057019295e+002°)
2.81838293126445e+004	(-6.22488025983009e+000dB,-1.79598813596808e+002°)
3.16227766016837e+004	(-6.22485000752387e+000dB,-1.79652246343629e+002°)
3.54813389233575e+004	(-6.22482633618678e+000dB,-1.79701064180399e+002°)
3.98107170553496e+004	(-6.22480795077339e+000dB,-1.79745914845300e+002°)
4.46683592150962e+004	(-6.22479384038401e+000dB,-1.79787393476725e+002°)
5.01187233627271e+004	(-6.22478322557973e+000dB,-1.79826050498226e+002°)
5.62341325190348e+004	(-6.22477551750475e+000dB,-1.79862398910876e+002°)
6.30957344480192e+004	(-6.22477028663973e+000dB,-1.79896921090538e+002°)
7.07945784384136e+004	(-6.22476723962650e+000dB,-1.79930075180907e+002°)
7.94328234724279e+004	(-6.22476620308337e+000dB,-1.79962301167268e+002°)
8.91250938133743e+004	(-6.22476711369981e+000dB,-1.79994026711324e+002°)
9.99999999999997e+004	(-6.22477001419836e+000dB,1.79974327175981e+002°)
1.12201845430196e+005	(-6.22477505501825e+000dB,1.79942340549033e+002°)
1.25892541179416e+005	(-6.22478250184040e+000dB,1.79909588955963e+002°)
1.41253754462275e+005	(-6.22479274935658e+000dB,1.79875637807588e+002°)
1.58489319246111e+005	(-6.22480634200286e+000dB,1.79840036612579e+002°)
1.77827941003892e+005	(-6.22482400274151e+000dB,1.79802313003010e+002°)
1.99526231496887e+005	(-6.22484667140307e+000dB,1.79761966471412e+002°)
2.23872113856833e+005	(-6.22487555460996e+000dB,1.79718461737140e+002°)
2.51188643150957e+005	(-6.22491218992105e+000dB,1.79671221654911e+002°)
2.81838293126444e+005	(-6.22495852759272e+000dB,1.79619619572952e+002°)
3.16227766016837e+005	(-6.22501703428729e+000dB,1.79562971041267e+002°)
3.54813389233574e+005	(-6.22509082422033e+000dB,1.79500524762919e+002°)
3.98107170553496e+005	(-6.22518382468630e+000dB,1.79431452672207e+002°)
4.46683592150961e+005	(-6.22530098470947e+000dB,1.79354839013901e+002°)
5.01187233627270e+005	(-6.22544853782649e+000dB,1.79269668286436e+002°)
5.62341325190347e+005	(-6.22563433283019e+000dB,1.79174811900645e+002°)
6.30957344480191e+005	(-6.22586824982915e+000dB,1.79069013392643e+002°)
7.07945784384135e+005	(-6.22616272337339e+000dB,1.78950872017286e+002°)
7.94328234724278e+005	(-6.22653339986469e+000dB,1.78818824535611e+002°)
8.91250938133742e+005	(-6.22699996325896e+000dB,1.78671124998906e+002°)
9.99999999999995e+005	(-6.22758717146150e+000dB,1.78505822322361e+002°)
1.12201845430196e+006	(-6.22832615615926e+000dB,1.78320735437011e+002°)
1.25892541179416e+006	(-6.22925605150222e+000dB,1.78113425809196e+002°)
1.41253754462275e+006	(-6.23042603248122e+000dB,1.77881167128855e+002°)
1.58489319246111e+006	(-6.23189786250387e+000dB,1.77620911992795e+002°)
1.77827941003891e+006	(-6.23374907203053e+000dB,1.77329255454094e+002°)
1.99526231496887e+006	(-6.23607691668611e+000dB,1.77002395382118e+002°)
2.23872113856833e+006	(-6.23900329446166e+000dB,1.76636089685615e+002°)
2.51188643150957e+006	(-6.24268083795851e+000dB,1.76225610611455e+002°)
2.81838293126444e+006	(-6.24730043955279e+000dB,1.75765696549559e+002°)
3.16227766016836e+006	(-6.25310051560586e+000dB,1.75250502081633e+002°)
3.54813389233573e+006	(-6.26037837128234e+000dB,1.74673547423939e+002°)
3.98107170553495e+006	(-6.26950409143770e+000dB,1.74027668984131e+002°)
4.46683592150961e+006	(-6.28093745613786e+000dB,1.73304973542303e+002°)
5.01187233627269e+006	(-6.29524845985237e+000dB,1.72496799698207e+002°)
5.62341325190346e+006	(-6.31314209119596e+000dB,1.71593691866879e+002°)
6.30957344480190e+006	(-6.33548807777903e+000dB,1.70585394491431e+002°)
7.07945784384134e+006	(-6.36335625996254e+000dB,1.69460877507215e+002°)
7.94328234724277e+006	(-6.39805802830495e+000dB,1.68208408561643e+002°)
8.91250938133740e+006	(-6.44119370113172e+000dB,1.66815692823043e+002°)
9.99999999999994e+006	(-6.49470467526337e+000dB,1.65270106652191e+002°)
1.12201845430196e+007	(-6.56092752922950e+000dB,1.63559055408509e+002°)
1.25892541179416e+007	(-6.64264496189952e+000dB,1.61670486124704e+002°)
1.41253754462275e+007	(-6.74312561480336e+000dB,1.59593580065674e+002°)
