frequency	V(inoise)
1.000000000000000e+004	2.933557e-008
1.122018454301963e+004	2.714866e-008
1.258925411794167e+004	2.516750e-008
1.412537544622754e+004	2.336848e-008
1.584893192461113e+004	2.173077e-008
1.778279410038922e+004	2.023606e-008
1.995262314968879e+004	1.886847e-008
2.238721138568338e+004	1.761435e-008
2.511886431509578e+004	1.646212e-008
2.818382931264452e+004	1.540213e-008
3.162277660168377e+004	1.442633e-008
3.548133892335751e+004	1.352804e-008
3.981071705534968e+004	1.270162e-008
4.466835921509627e+004	1.194211e-008
5.011872336272717e+004	1.124506e-008
5.623413251903484e+004	1.060625e-008
6.309573444801924e+004	1.002163e-008
7.079457843841369e+004	9.487263e-009
7.943282347242803e+004	8.999332e-009
8.912509381337442e+004	8.554164e-009
9.999999999999984e+004	8.148266e-009
1.122018454301962e+005	7.778353e-009
1.258925411794165e+005	7.441371e-009
1.412537544622752e+005	7.134501e-009
1.584893192461111e+005	6.855156e-009
1.778279410038919e+005	6.600971e-009
1.995262314968875e+005	6.369787e-009
2.238721138568335e+005	6.159636e-009
2.511886431509575e+005	5.968719e-009
2.818382931264447e+005	5.795392e-009
3.162277660168372e+005	5.638147e-009
3.548133892335746e+005	5.495602e-009
3.981071705534963e+005	5.366485e-009
4.466835921509620e+005	5.249626e-009
5.011872336272710e+005	5.143942e-009
5.623413251903475e+005	5.048438e-009
6.309573444801915e+005	4.962191e-009
7.079457843841359e+005	4.884351e-009
7.943282347242791e+005	4.814130e-009
8.912509381337428e+005	4.750798e-009
9.999999999999969e+005	4.693682e-009
1.122018454301960e+006	4.642157e-009
1.258925411794163e+006	4.595639e-009
1.412537544622750e+006	4.553590e-009
1.584893192461108e+006	4.515500e-009
1.778279410038917e+006	4.480895e-009
1.995262314968873e+006	4.449325e-009
2.238721138568332e+006	4.420362e-009
2.511886431509571e+006	4.393597e-009
2.818382931264443e+006	4.368640e-009
3.162277660168367e+006	4.345114e-009
3.548133892335740e+006	4.322668e-009
3.981071705534956e+006	4.300974e-009
4.466835921509612e+006	4.279743e-009
5.011872336272702e+006	4.258744e-009
5.623413251903467e+006	4.237822e-009
6.309573444801905e+006	4.216929e-009
7.079457843841348e+006	4.196144e-009
7.943282347242779e+006	4.175698e-009
8.912509381337414e+006	4.155976e-009
9.999999999999952e+006	4.137522e-009
1.122018454301958e+007	4.121008e-009
1.258925411794161e+007	4.107207e-009
1.412537544622747e+007	4.096963e-009
1.584893192461105e+007	4.091167e-009
1.778279410038914e+007	4.090754e-009
1.995262314968870e+007	4.096724e-009
2.238721138568328e+007	4.110182e-009
2.511886431509567e+007	4.132400e-009
2.818382931264439e+007	4.164879e-009
3.000000000000000e+007	4.187416e-009
