Freq.	V(input_impedance)
1.00000000000000e+000	(1.99649512054274e+002dB,-1.61674839567355e+001°)
1.12201845430196e+000	(1.99563190748865e+002dB,-1.80189868266263e+001°)
1.25892541179417e+000	(1.99456902843296e+002dB,-2.00509198079169e+001°)
1.41253754462275e+000	(1.99326690129636e+002dB,-2.22696365273535e+001°)
1.58489319246111e+000	(1.99168125374441e+002dB,-2.46777797321692e+001°)
1.77827941003892e+000	(1.98976399388385e+002dB,-2.72730848484198e+001°)
1.99526231496888e+000	(1.98746476047072e+002dB,-3.00472169056349e+001°)
2.23872113856834e+000	(1.98473321580107e+002dB,-3.29848248346042e+001°)
2.51188643150958e+000	(1.98152201663501e+002dB,-3.60630385311019e+001°)
2.81838293126445e+000	(1.97779022312593e+002dB,-3.92516313056021e+001°)
3.16227766016838e+000	(1.97350672363078e+002dB,-4.25140003566479e+001°)
3.54813389233575e+000	(1.96865313131196e+002dB,-4.58089770332724e+001°)
3.98107170553497e+000	(1.96322561480456e+002dB,-4.90932954381395e+001°)
4.46683592150963e+000	(1.95723529076215e+002dB,-5.23243805793111e+001°)
5.01187233627272e+000	(1.95070709542553e+002dB,-5.54630300818192e+001°)
5.62341325190348e+000	(1.94367737053353e+002dB,-5.84755929205407e+001°)
6.30957344480192e+000	(1.93619063633501e+002dB,-6.13353822036777e+001°)
7.07945784384137e+000	(1.92829611186226e+002dB,-6.40232425915891e+001°)
7.94328234724280e+000	(1.92004447891612e+002dB,-6.65273611227433e+001°)
8.91250938133744e+000	(1.91148522548551e+002dB,-6.88425176991792e+001°)
9.99999999999998e+000	(1.90266471846267e+002dB,-7.09690064335326e+001°)
1.12201845430196e+001	(1.89362500034228e+002dB,-7.29114367390364e+001°)
1.25892541179417e+001	(1.88440320568274e+002dB,-7.46775699743996e+001°)
1.41253754462275e+001	(1.87503144986847e+002dB,-7.62772877044633e+001°)
1.58489319246111e+001	(1.86553704046291e+002dB,-7.77217363559955e+001°)
1.77827941003892e+001	(1.85594288249276e+002dB,-7.90226563240792e+001°)
1.99526231496888e+001	(1.84626797898260e+002dB,-8.01918813335420e+001°)
2.23872113856833e+001	(1.83652795783512e+002dB,-8.12409830394460e+001°)
2.51188643150957e+001	(1.82673558122074e+002dB,-8.21810327417241e+001°)
2.81838293126445e+001	(1.81690121262845e+002dB,-8.30224534755085e+001°)
3.16227766016837e+001	(1.80703322998512e+002dB,-8.37749392937854e+001°)
3.54813389233575e+001	(1.79713838184046e+002dB,-8.44474228068428e+001°)
3.98107170553496e+001	(1.78722208874317e+002dB,-8.50480761597693e+001°)
4.46683592150962e+001	(1.77728869466777e+002dB,-8.55843342276062e+001°)
5.01187233627271e+001	(1.76734167452772e+002dB,-8.60629317620321e+001°)
5.62341325190347e+001	(1.75738380403333e+002dB,-8.64899485482080e+001°)
6.30957344480191e+001	(1.74741729783818e+002dB,-8.68708584039761e+001°)
7.07945784384136e+001	(1.73744392133373e+002dB,-8.72105791744696e+001°)
7.94328234724279e+001	(1.72746508076514e+002dB,-8.75135218394957e+001°)
8.91250938133743e+001	(1.71748189564877e+002dB,-8.77836375426902e+001°)
9.99999999999997e+001	(1.70749525682671e+002dB,-8.80244618391244e+001°)
1.12201845430196e+002	(1.69750587291775e+002dB,-8.82391557957893e+001°)
1.25892541179416e+002	(1.68751430742835e+002dB,-8.84305438084926e+001°)
1.41253754462275e+002	(1.67752100836582e+002dB,-8.86011481500924e+001°)
1.58489319246111e+002	(1.66752633184657e+002dB,-8.87532203614537e+001°)
1.77827941003892e+002	(1.65753056090271e+002dB,-8.88887696546442e+001°)
1.99526231496887e+002	(1.64753392045491e+002dB,-8.90095885296308e+001°)
2.23872113856833e+002	(1.63753658922729e+002dB,-8.91172758196340e+001°)
2.51188643150957e+002	(1.62753870922543e+002dB,-8.92132573823758e+001°)
2.81838293126444e+002	(1.61754039327356e+002dB,-8.92988046489470e+001°)
3.16227766016837e+002	(1.60754173100708e+002dB,-8.93750512318712e+001°)
