Freq.	V(transimpedance)
1.00000000000000e+000	(2.27945001427622e+002dB,1.34173548203106e+002°)
1.12201845430196e+000	(2.27401947240018e+002dB,1.30889401566139e+002°)
1.25892541179417e+000	(2.26802622036413e+002dB,1.27658707077787e+002°)
1.41253754462275e+000	(2.26149526218276e+002dB,1.24520642840638e+002°)
1.58489319246111e+000	(2.25446299192184e+002dB,1.21508825946164e+002°)
1.77827941003892e+000	(2.24697396388951e+002dB,1.18649904128704e+002°)
1.99526231496888e+000	(2.23907741300469e+002dB,1.15962992717699e+002°)
2.23872113856834e+000	(2.23082402113379e+002dB,1.13459867361080e+002°)
2.51188643150958e+000	(2.22226326413861e+002dB,1.11145715895041e+002°)
2.81838293126445e+000	(2.21344148855692e+002dB,1.09020218146860e+002°)
3.16227766016838e+000	(2.20440071192221e+002dB,1.07078745013780e+002°)
3.54813389233575e+000	(2.19517804213395e+002dB,1.05313521322918e+002°)
3.98107170553497e+000	(2.18580556831303e+002dB,1.03714656714437e+002°)
4.46683592150963e+000	(2.17631057349725e+002dB,1.02271000003667e+002°)
5.01187233627272e+000	(2.16671594066302e+002dB,1.00970809120946e+002°)
5.62341325190348e+000	(2.15704065355656e+002dB,9.98022509089062e+001°)
6.30957344480192e+000	(2.14730032357749e+002dB,9.87537558268203e+001°)
7.07945784384137e+000	(2.13750769899551e+002dB,9.78142556889592e+001°)
7.94328234724280e+000	(2.12767313173644e+002dB,9.69733311606348e+001°)
8.91250938133744e+000	(2.11780499020186e+002dB,9.62212921736299e+001°)
9.99999999999998e+000	(2.10791001515469e+002dB,9.55492101738858e+001°)
1.12201845430196e+001	(2.09799362081611e+002dB,9.49489169995471e+001°)
1.25892541179417e+001	(2.08806014604325e+002dB,9.44129815923747e+001°)
1.41253754462275e+001	(2.07811306162629e+002dB,9.39346727947167e+001°)
1.58489319246111e+001	(2.06815513996306e+002dB,9.35079141626377e+001°)
1.77827941003892e+001	(2.05818859305226e+002dB,9.31272349549087e+001°)
1.99526231496888e+001	(2.04821518416146e+002dB,9.27877201388291e+001°)
2.23872113856833e+001	(2.03823631783916e+002dB,9.24849612911999e+001°)
2.51188643150957e+001	(2.02825311224802e+002dB,9.22150095823819e+001°)
2.81838293126445e+001	(2.01826645715096e+002dB,9.19743315446134e+001°)
3.16227766016837e+001	(2.00827706030719e+002dB,9.17597679886928e+001°)
3.54813389233575e+001	(1.99828548453878e+002dB,9.15684962045057e+001°)
3.98107170553496e+001	(1.98829217730851e+002dB,9.13979954298340e+001°)
4.46683592150962e+001	(1.97829749429960e+002dB,9.12460154756623e+001°)
5.01187233627271e+001	(1.96830171819968e+002dB,9.11105483382361e+001°)
5.62341325190347e+001	(1.95830507365557e+002dB,9.09898025964946e+001°)
6.30957344480191e+001	(1.94830773917368e+002dB,9.08821803796820e+001°)
7.07945784384136e+001	(1.93830985658657e+002dB,9.07862566879149e+001°)
7.94328234724279e+001	(1.92831153858099e+002dB,9.07007608540185e+001°)
8.91250938133743e+001	(1.91831287468307e+002dB,9.06245599451198e+001°)
9.99999999999997e+001	(1.90831393601597e+002dB,9.05566439152754e+001°)
1.12201845430196e+002	(1.89831477908115e+002dB,9.04961123344639e+001°)
1.25892541179416e+002	(1.88831544876328e+002dB,9.04421625336768e+001°)
