i_d	ft
1.000000000000000e-009	4.302789e+003
1.258930000000000e-009	5.424129e+003
1.584890000000000e-009	6.837384e+003
1.995260000000000e-009	8.618367e+003
2.511890000000000e-009	1.086288e+004
3.162280000000000e-009	1.369147e+004
3.981070000000000e-009	1.725580e+004
5.011870000000000e-009	2.174728e+004
6.309570000000000e-009	2.740659e+004
7.943280000000000e-009	3.453783e+004
1.000000000000000e-008	4.352262e+004
1.258930000000000e-008	5.484285e+004
1.584890000000000e-008	6.910509e+004
1.995260000000000e-008	8.707230e+004
2.511890000000000e-008	1.097110e+005
3.162280000000000e-008	1.382293e+005
3.981070000000000e-008	1.741606e+005
5.011870000000000e-008	2.194068e+005
6.309570000000000e-008	2.763758e+005
7.943280000000000e-008	3.481769e+005
1.000000000000000e-007	4.385307e+005
1.258930000000000e-007	5.523318e+005
1.584890000000000e-007	6.955847e+005
1.995260000000000e-007	8.758909e+005
2.511890000000000e-007	1.102808e+006
3.162280000000000e-007	1.388513e+006
3.981070000000000e-007	1.747833e+006
5.011870000000000e-007	2.199885e+006
6.309570000000000e-007	2.768535e+006
7.943280000000000e-007	3.483373e+006
1.000000000000000e-006	4.381775e+006
1.258930000000000e-006	5.511249e+006
1.584890000000000e-006	6.930268e+006
1.995260000000000e-006	8.711642e+006
2.511890000000000e-006	1.094964e+007
3.162280000000000e-006	1.375783e+007
3.981070000000000e-006	1.728025e+007
5.011870000000000e-006	2.169702e+007
6.309570000000000e-006	2.723015e+007
7.943279999999999e-006	3.415860e+007
1.000000000000000e-005	4.282526e+007
1.258930000000000e-005	5.365992e+007
1.584890000000000e-005	6.718928e+007
1.995260000000000e-005	8.406206e+007
2.511890000000000e-005	1.050872e+008
3.162280000000000e-005	1.312653e+008
3.981070000000000e-005	1.638136e+008
5.011870000000000e-005	2.041738e+008
6.309570000000000e-005	2.540973e+008
7.943280000000000e-005	3.156821e+008
1.000000000000000e-004	3.916968e+008
1.258930000000000e-004	4.848417e+008
1.584890000000000e-004	5.986183e+008
1.995260000000000e-004	7.373098e+008
2.511890000000000e-004	9.050029e+008
3.162280000000000e-004	1.107388e+009
3.981070000000000e-004	1.350206e+009
5.011870000000001e-004	1.640212e+009
6.309570000000000e-004	1.985181e+009
7.943280000000000e-004	2.394970e+009
1.000000000000000e-003	2.880713e+009
1.258930000000000e-003	3.455015e+009
1.584890000000000e-003	4.131902e+009
1.995260000000000e-003	4.925496e+009
2.511890000000000e-003	5.849921e+009
3.162280000000000e-003	6.914329e+009
3.981070000000000e-003	8.134858e+009
5.011870000000000e-003	9.501671e+009
6.309570000000000e-003	1.101666e+010
6.400000000000000e-003	1.111604e+010
