i1	1/d(V(G))
1.000000000000000e-009	3.906902e-006
1.001000000000000e-006	7.095964e-006
2.001000000000000e-006	4.857671e-005
3.001000000000000e-006	7.577456e-005
4.001000000000000e-006	1.027841e-004
5.000999999999999e-006	1.314221e-004
6.000999999999999e-006	1.568316e-004
7.000999999999999e-006	1.819931e-004
8.000999999999998e-006	2.076202e-004
9.000999999999999e-006	2.332404e-004
1.000100000000000e-005	2.587719e-004
1.100100000000000e-005	2.842307e-004
1.200100000000000e-005	3.096213e-004
1.300100000000000e-005	3.349464e-004
1.400100000000000e-005	3.602097e-004
1.500100000000000e-005	3.854151e-004
1.600100000000000e-005	4.105623e-004
1.700100000000000e-005	4.356587e-004
1.800100000000000e-005	4.607100e-004
1.900100000000000e-005	4.857083e-004
2.000100000000000e-005	5.106637e-004
2.100100000000000e-005	5.355770e-004
2.200100000000001e-005	5.604408e-004
2.300100000000001e-005	5.852704e-004
2.400100000000001e-005	6.100695e-004
2.500100000000001e-005	6.348273e-004
2.600100000000001e-005	6.595401e-004
2.700100000000001e-005	6.842258e-004
2.800100000000001e-005	7.088865e-004
2.900100000000001e-005	7.335024e-004
3.000100000000001e-005	7.580867e-004
3.100100000000001e-005	7.826472e-004
3.200100000000001e-005	8.071790e-004
3.300100000000001e-005	8.316875e-004
3.400100000000000e-005	8.561551e-004
3.500100000000000e-005	8.806013e-004
3.600100000000000e-005	9.050298e-004
3.700099999999999e-005	9.294084e-004
3.800099999999999e-005	9.537793e-004
3.900099999999999e-005	9.781350e-004
4.000099999999999e-005	1.002463e-003
4.100099999999998e-005	1.026757e-003
4.200099999999998e-005	1.051023e-003
4.300099999999998e-005	1.075273e-003
4.400099999999997e-005	1.099514e-003
4.500099999999997e-005	1.123725e-003
4.600099999999997e-005	1.147906e-003
4.700099999999997e-005	1.172084e-003
4.800099999999996e-005	1.196236e-003
4.900099999999996e-005	1.220361e-003
5.000099999999996e-005	1.244485e-003
5.100099999999995e-005	1.268575e-003
5.200099999999995e-005	1.292618e-003
5.300099999999995e-005	1.316686e-003
5.400099999999995e-005	1.340756e-003
5.500099999999994e-005	1.364750e-003
5.600099999999994e-005	1.388727e-003
5.700099999999994e-005	1.412759e-003
5.800099999999994e-005	1.436713e-003
5.900099999999993e-005	1.460635e-003
6.000099999999993e-005	1.484611e-003
6.100099999999993e-005	1.508539e-003
6.200099999999992e-005	1.532411e-003
6.300099999999992e-005	1.556292e-003
6.400099999999992e-005	1.580185e-003
6.500099999999992e-005	1.604055e-003
6.600099999999991e-005	1.627908e-003
6.700099999999991e-005	1.651748e-003
6.800099999999991e-005	1.675543e-003
6.900099999999990e-005	1.699303e-003
7.000099999999990e-005	1.723126e-003
7.100099999999990e-005	1.746944e-003
7.200099999999990e-005	1.770636e-003
7.300099999999989e-005	1.794403e-003
7.400099999999989e-005	1.818176e-003
7.500099999999989e-005	1.841879e-003
7.600099999999988e-005	1.865586e-003
7.700099999999988e-005	1.889273e-003
7.800099999999988e-005	1.912914e-003
7.900099999999988e-005	1.936596e-003
8.000099999999987e-005	1.960299e-003
8.100099999999987e-005	1.983943e-003
8.200099999999987e-005	2.007564e-003
8.300099999999987e-005	2.031201e-003
8.400099999999986e-005	2.054835e-003
8.500099999999986e-005	2.078382e-003
8.600099999999986e-005	2.102013e-003
8.700099999999985e-005	2.125582e-003
8.800099999999985e-005	2.149134e-003
8.900099999999985e-005	2.172722e-003
9.000099999999985e-005	2.196186e-003
9.100099999999984e-005	2.219722e-003
9.200099999999984e-005	2.243318e-003
9.300099999999984e-005	2.266808e-003
9.400099999999983e-005	2.290327e-003
9.500099999999983e-005	2.313859e-003
9.600099999999983e-005	2.337311e-003
9.700099999999983e-005	2.360744e-003
9.800099999999982e-005	2.384228e-003
9.900099999999982e-005	2.407666e-003
1.000009999999998e-004	2.431128e-003
1.010009999999998e-004	2.454514e-003
1.020009999999998e-004	2.477896e-003
1.030009999999998e-004	2.501449e-003
1.040009999999998e-004	2.524788e-003
1.050009999999998e-004	2.548180e-003
1.060009999999998e-004	2.571615e-003
1.070009999999998e-004	2.594883e-003
1.080009999999998e-004	2.618269e-003
1.090009999999998e-004	2.641665e-003
1.100009999999998e-004	2.665060e-003
1.110009999999998e-004	2.688333e-003
1.120009999999998e-004	2.711688e-003
1.130009999999998e-004	2.735007e-003
1.140009999999998e-004	2.758276e-003
1.150009999999998e-004	2.781715e-003
1.160009999999998e-004	2.804968e-003
1.170009999999998e-004	2.828137e-003
1.180009999999998e-004	2.851450e-003
1.190009999999998e-004	2.874780e-003
1.200009999999998e-004	2.897995e-003
1.210009999999998e-004	2.921206e-003
1.220009999999998e-004	2.944534e-003
1.230009999999998e-004	2.967843e-003
1.240009999999998e-004	2.990991e-003
1.250009999999998e-004	3.014097e-003
1.260009999999997e-004	3.037425e-003
1.270009999999997e-004	3.060698e-003
1.280009999999997e-004	3.083764e-003
1.290009999999997e-004	3.107036e-003
1.300009999999997e-004	3.130224e-003
1.310009999999997e-004	3.153316e-003
1.320009999999997e-004	3.176450e-003
1.330009999999997e-004	3.199622e-003
1.340009999999997e-004	3.222824e-003
1.350009999999997e-004	3.246051e-003
1.360009999999997e-004	3.269138e-003
1.370009999999997e-004	3.292232e-003
1.380009999999997e-004	3.315328e-003
1.390009999999997e-004	3.338417e-003
1.400009999999997e-004	3.361662e-003
1.410009999999997e-004	3.384721e-003
1.420009999999997e-004	3.407752e-003
1.430009999999997e-004	3.430748e-003
1.440009999999997e-004	3.453879e-003
1.450009999999997e-004	3.476963e-003
1.460009999999997e-004	3.499993e-003
1.470009999999997e-004	3.523145e-003
1.480009999999997e-004	3.546230e-003
1.490009999999997e-004	3.569241e-003
1.500009999999997e-004	3.592167e-003
1.510009999999997e-004	3.615195e-003
1.520009999999997e-004	3.638323e-003
1.530009999999997e-004	3.661349e-003
1.540009999999997e-004	3.684264e-003
1.550009999999997e-004	3.707262e-003
1.560009999999997e-004	3.730343e-003
1.570009999999997e-004	3.753292e-003
1.580009999999997e-004	3.776313e-003
1.590009999999997e-004	3.799403e-003
1.600009999999997e-004	3.822125e-003
1.610009999999997e-004	3.845119e-003
1.620009999999996e-004	3.868169e-003
1.630009999999996e-004	3.891046e-003
1.640009999999996e-004	3.913966e-003
1.650009999999996e-004	3.936927e-003
1.660009999999996e-004	3.959926e-003
1.670009999999996e-004	3.982722e-003
1.680009999999996e-004	4.005782e-003
1.690009999999996e-004	4.028627e-003
1.700009999999996e-004	4.051489e-003
1.710009999999996e-004	4.074365e-003
1.720009999999996e-004	4.097250e-003
1.730009999999996e-004	4.120394e-003
1.740009999999996e-004	4.143034e-003
1.750009999999996e-004	4.165924e-003
1.760009999999996e-004	4.188806e-003
1.770009999999996e-004	4.211677e-003
1.780009999999996e-004	4.234532e-003
1.790009999999996e-004	4.257366e-003
1.800009999999996e-004	4.280175e-003
1.810009999999996e-004	4.302954e-003
1.820009999999996e-004	4.325976e-003
1.830009999999996e-004	4.348682e-003
1.840009999999996e-004	4.371343e-003
1.850009999999996e-004	4.394242e-003
1.860009999999996e-004	4.417091e-003
1.870009999999996e-004	4.439885e-003
1.880009999999996e-004	4.462619e-003
1.890009999999996e-004	4.485587e-003
1.900009999999996e-004	4.508489e-003
1.910009999999996e-004	4.531015e-003
1.920009999999996e-004	4.553767e-003
1.930009999999996e-004	4.576436e-003
1.940009999999996e-004	4.599333e-003
1.950009999999996e-004	4.622141e-003
1.960009999999996e-004	4.644855e-003
1.970009999999996e-004	4.667469e-003
1.980009999999995e-004	4.690304e-003
1.990009999999995e-004	4.713032e-003
2.000009999999995e-004	4.735648e-003
2.010009999999995e-004	4.758481e-003
2.020009999999995e-004	4.781196e-003
2.030009999999995e-004	4.803784e-003
2.040009999999995e-004	4.826587e-003
2.050009999999995e-004	4.849257e-003
2.060009999999995e-004	4.871787e-003
2.070009999999995e-004	4.894884e-003
2.080009999999995e-004	4.917481e-003
2.090009999999995e-004	4.939924e-003
2.100009999999995e-004	4.962572e-003
2.110009999999995e-004	4.985429e-003
2.120009999999995e-004	5.008124e-003
2.130009999999995e-004	5.030649e-003
2.140009999999995e-004	5.052998e-003
2.150009999999995e-004	5.075546e-003
2.160009999999995e-004	5.098683e-003
2.170009999999995e-004	5.121250e-003
2.180009999999995e-004	5.143624e-003
2.190009999999995e-004	5.166592e-003
2.200009999999995e-004	5.188963e-003
2.210009999999995e-004	5.211529e-003
2.220009999999995e-004	5.234292e-003
2.230009999999995e-004	5.256843e-003
2.240009999999995e-004	5.279590e-003
2.250009999999995e-004	5.301696e-003
2.260009999999995e-004	5.324410e-003
2.270009999999995e-004	5.347320e-003
2.280009999999995e-004	5.369568e-003
2.290009999999995e-004	5.392436e-003
2.300009999999995e-004	5.415062e-003
2.310009999999995e-004	5.436998e-003
2.320009999999995e-004	5.459556e-003
2.330009999999995e-004	5.482750e-003
2.340009999999994e-004	5.505239e-003
2.350009999999994e-004	5.527458e-003
2.360009999999994e-004	5.549856e-003
2.370009999999994e-004	5.572437e-003
2.380009999999994e-004	5.595203e-003
2.390009999999994e-004	5.617685e-003
2.400009999999994e-004	5.639874e-003
2.410009999999994e-004	5.662717e-003
2.420009999999994e-004	5.685265e-003
2.430009999999994e-004	5.707507e-003
2.440009999999994e-004	5.729923e-003
2.450009999999994e-004	5.752517e-003
2.460009999999994e-004	5.775290e-003
2.470009999999995e-004	5.797241e-003
2.480009999999995e-004	5.819865e-003
2.490009999999995e-004	5.842666e-003
2.500009999999995e-004	5.864622e-003
2.510009999999996e-004	5.887259e-003
2.520009999999996e-004	5.910072e-003
2.530009999999996e-004	5.932013e-003
2.540009999999996e-004	5.954646e-003
2.550009999999997e-004	5.976921e-003
2.560009999999997e-004	5.999362e-003
2.570009999999997e-004	6.021973e-003
2.580009999999997e-004	6.044210e-003
2.590009999999998e-004	6.066612e-003
2.600009999999998e-004	6.089181e-003
2.610009999999998e-004	6.111918e-003
2.620009999999998e-004	6.133705e-003
2.630009999999999e-004	6.156212e-003
2.640009999999999e-004	6.178884e-003
2.650009999999999e-004	6.200579e-003
2.660009999999999e-004	6.223003e-003
2.670010000000000e-004	6.246171e-003
2.680010000000000e-004	6.268341e-003
2.690010000000000e-004	6.290080e-003
2.700010000000000e-004	6.313157e-003
2.710010000000000e-004	6.335209e-003
2.720010000000001e-004	6.357414e-003
2.730010000000001e-004	6.380383e-003
2.740010000000001e-004	6.402296e-003
2.750010000000001e-004	6.424360e-003
2.760010000000002e-004	6.446577e-003
2.770010000000002e-004	6.468948e-003
2.780010000000002e-004	6.491475e-003
2.790010000000002e-004	6.514159e-003
2.800010000000003e-004	6.536365e-003
2.810010000000003e-004	6.558083e-003
2.820010000000003e-004	6.580591e-003
2.830010000000003e-004	6.603253e-003
2.840010000000004e-004	6.624764e-003
2.850010000000004e-004	6.647074e-003
2.860010000000004e-004	6.670198e-003
2.870010000000004e-004	6.692148e-003
2.880010000000005e-004	6.714244e-003
2.890010000000005e-004	6.736485e-003
2.900010000000005e-004	6.758874e-003
2.910010000000005e-004	6.781413e-003
2.920010000000006e-004	6.803413e-003
2.930010000000006e-004	6.825556e-003
2.940010000000006e-004	6.847843e-003
2.950010000000006e-004	6.870277e-003
2.960010000000007e-004	6.892150e-003
2.970010000000007e-004	6.914163e-003
2.980010000000007e-004	6.937034e-003
2.990010000000007e-004	6.959335e-003
3.000010000000008e-004	6.981053e-003
3.010010000000008e-004	7.002908e-003
3.020010000000008e-004	7.025635e-003
3.030010000000008e-004	7.047770e-003
3.040010000000009e-004	7.069300e-003
3.050010000000009e-004	7.092461e-003
3.060010000000009e-004	7.114265e-003
3.070010000000009e-004	7.136204e-003
3.080010000000009e-004	7.159042e-003
3.090010000000010e-004	7.180490e-003
3.100010000000010e-004	7.202840e-003
3.110010000000010e-004	7.225330e-003
