vg	V(vout)
2.000000000000000e-001	3.199415e-001
2.100000000000000e-001	3.199259e-001
2.200000000000000e-001	3.199003e-001
2.300000000000000e-001	3.198699e-001
2.400000000000001e-001	3.198304e-001
2.500000000000001e-001	3.197791e-001
2.600000000000001e-001	3.197126e-001
2.700000000000001e-001	3.196263e-001
2.800000000000001e-001	3.195148e-001
2.900000000000001e-001	3.193707e-001
3.000000000000001e-001	3.191851e-001
3.100000000000001e-001	3.189462e-001
3.200000000000001e-001	3.186397e-001
3.300000000000001e-001	3.182471e-001
3.400000000000001e-001	3.177458e-001
3.500000000000001e-001	3.171073e-001
3.600000000000002e-001	3.162964e-001
3.700000000000002e-001	3.152696e-001
3.800000000000002e-001	3.139736e-001
3.900000000000002e-001	3.123434e-001
4.000000000000002e-001	3.103003e-001
4.100000000000002e-001	3.077494e-001
4.200000000000002e-001	3.045779e-001
4.300000000000002e-001	3.006533e-001
4.400000000000002e-001	2.958220e-001
4.500000000000002e-001	2.899097e-001
4.600000000000002e-001	2.827230e-001
4.700000000000003e-001	2.740534e-001
4.800000000000003e-001	2.636837e-001
4.900000000000003e-001	2.513962e-001
5.000000000000002e-001	2.369838e-001
5.100000000000002e-001	2.202605e-001
5.200000000000002e-001	2.010728e-001
5.300000000000003e-001	1.793087e-001
5.400000000000003e-001	1.549045e-001
5.500000000000003e-001	1.278478e-001
5.600000000000003e-001	9.817933e-002
5.700000000000003e-001	6.599202e-002
5.800000000000003e-001	3.143101e-002
5.900000000000003e-001	-5.302455e-003
6.000000000000003e-001	-4.393635e-002
6.100000000000003e-001	-8.408552e-002
6.200000000000003e-001	-1.251355e-001
6.300000000000003e-001	-1.659117e-001
6.400000000000004e-001	-2.037601e-001
6.500000000000004e-001	-2.330700e-001
6.600000000000004e-001	-2.505734e-001
6.700000000000004e-001	-2.606176e-001
6.800000000000004e-001	-2.672481e-001
6.900000000000004e-001	-2.721187e-001
7.000000000000004e-001	-2.758536e-001
7.100000000000004e-001	-2.788798e-001
7.200000000000004e-001	-2.813983e-001
7.300000000000004e-001	-2.835352e-001
7.400000000000004e-001	-2.853768e-001
7.500000000000004e-001	-2.869839e-001
7.600000000000005e-001	-2.884011e-001
7.700000000000005e-001	-2.896618e-001
7.800000000000005e-001	-2.907917e-001
7.900000000000005e-001	-2.918110e-001
8.000000000000005e-001	-2.927359e-001
8.100000000000005e-001	-2.935794e-001
8.200000000000005e-001	-2.943522e-001
8.300000000000005e-001	-2.950631e-001
8.400000000000005e-001	-2.957196e-001
8.500000000000005e-001	-2.963278e-001
8.600000000000005e-001	-2.968931e-001
8.700000000000006e-001	-2.974199e-001
8.800000000000006e-001	-2.979123e-001
8.900000000000006e-001	-2.983736e-001
9.000000000000006e-001	-2.988066e-001
9.100000000000006e-001	-2.992140e-001
9.200000000000006e-001	-2.995980e-001
9.300000000000006e-001	-2.999606e-001
9.400000000000006e-001	-3.003036e-001
9.500000000000006e-001	-3.006285e-001
9.600000000000006e-001	-3.009368e-001
9.700000000000006e-001	-3.012297e-001
9.800000000000007e-001	-3.015082e-001
9.900000000000007e-001	-3.017735e-001
1.000000000000001e+000	-3.020265e-001
1.010000000000001e+000	-3.022679e-001
1.020000000000001e+000	-3.024986e-001
1.030000000000001e+000	-3.027192e-001
1.040000000000001e+000	-3.029303e-001
1.050000000000001e+000	-3.031326e-001
1.060000000000001e+000	-3.033265e-001
1.070000000000001e+000	-3.035126e-001
1.080000000000001e+000	-3.036913e-001
1.090000000000001e+000	-3.038630e-001
1.100000000000001e+000	-3.040280e-001
1.110000000000001e+000	-3.041868e-001
1.120000000000001e+000	-3.043397e-001
1.130000000000001e+000	-3.044869e-001
1.140000000000001e+000	-3.046288e-001
1.150000000000001e+000	-3.047656e-001
1.160000000000001e+000	-3.048976e-001
1.170000000000001e+000	-3.050250e-001
1.180000000000001e+000	-3.051479e-001
1.190000000000001e+000	-3.052667e-001
1.200000000000001e+000	-3.053815e-001
1.210000000000001e+000	-3.054925e-001
1.220000000000001e+000	-3.055998e-001
1.230000000000001e+000	-3.057037e-001
1.240000000000001e+000	-3.058042e-001
1.250000000000001e+000	-3.059015e-001
1.260000000000001e+000	-3.059957e-001
1.270000000000001e+000	-3.060870e-001
1.280000000000001e+000	-3.061754e-001
1.290000000000001e+000	-3.062612e-001
1.300000000000001e+000	-3.063443e-001
1.310000000000001e+000	-3.064249e-001
1.320000000000001e+000	-3.065031e-001
1.330000000000001e+000	-3.065790e-001
1.340000000000001e+000	-3.066526e-001
1.350000000000001e+000	-3.067240e-001
1.360000000000001e+000	-3.067935e-001
1.370000000000001e+000	-3.068608e-001
1.380000000000001e+000	-3.069263e-001
1.390000000000001e+000	-3.069899e-001
1.400000000000001e+000	-3.070517e-001
1.410000000000001e+000	-3.071117e-001
1.420000000000001e+000	-3.071700e-001
1.430000000000001e+000	-3.072268e-001
1.440000000000001e+000	-3.072819e-001
1.450000000000001e+000	-3.073356e-001
1.460000000000001e+000	-3.073877e-001
1.470000000000001e+000	-3.074384e-001
1.480000000000001e+000	-3.074878e-001
1.490000000000001e+000	-3.075357e-001
1.500000000000001e+000	-3.075824e-001
1.510000000000001e+000	-3.076279e-001
1.520000000000001e+000	-3.076721e-001
1.530000000000001e+000	-3.077151e-001
1.540000000000001e+000	-3.077570e-001
1.550000000000001e+000	-3.077977e-001
1.560000000000001e+000	-3.078374e-001
1.570000000000001e+000	-3.078760e-001
1.580000000000001e+000	-3.079136e-001
1.590000000000001e+000	-3.079502e-001
1.600000000000000e+000	-3.079858e-001
